num-flashcard,english-word,irregular-english-word,definition,example-sentence,translate-example-sentence
219,bread,,1. (sus.) Pan.,Germany has the best bread in the world.,Alemania tiene el mejor pan del mundo.
220,field,,1. (sus.) Campo.,Ben met his friends at the baseball field.,Ben conoció a sus amigos en el campo de béisbol.
221,wood,,1. (sus.) Bosque.   ; 2. (sus.) Madera.,Jason lost his dog in the woods,Jason perdió a su perro en el bosque.
222,tear,,"1. (v.) Rasgar, romper, partir.",Gary tore his bread into two pieces and gave one to Allie.,Gary partió su pan en dos partes y le dio una a Allie.
223,weigh,,1. (v.) Pesar. ; 2. (v.) Sopesar.,Always weigh your bags before you go to the airport!,¡Pesa siempre tus maletas antes de ir al aeropuerto!
224,judge,,1. (v.) Juzgar.  ; 2. (sus.) Juez.,I never judge people based on their looks.,Nunca juzgo a las personas según su apariencia.
225,deaf,,"1. (adj.) Sordo, sorda.",He's completly deaf in his right ear.,Es completamente sordo del oído derecho.
226,ear,,1. (sus.) Oreja.  ; 2. (sus.) Oído.,I'm completly deaf in my right ear.,Estoy completamente sordo del oído derecho.
227,travel,,1. (v.) Viajar.,"Sam wants to travel the world, one day.",Sam quiere viajar por el mundo algún día.
228,safe,,"1. (adj.) Seguro, a salvo.  ; 2. (sus.) Caja fuerte, caja de seguridad.",I called to make sure he's safe.,Llamé para asegurarme de que está a salvo.
229,dish,,1. (sus.) Plato.,Harrison always helps Norah do the dishes.,Harrison siempre ayuda a Norah a lavar los platos.
230,makeup,,1. (sus.) Maquillaje.  ; 2. (sus.) Cosméticos.,Annabelle does her makeup every morning after breakfast.,Annabelle se maquilla todas las mañanas después del desayuno.
231,boil,,1. (v.) Hervir.  ; 2. (v.) Cocer.,I like hard-boiled eggs.,Me gustan los huevos hervidos.
232,towards,,1. (prep.) Hacia.,"Move towards me slowly, one step at a time.","Muévete hacia mí lentamente, un paso a la vez."
233,stair,,1. (sus.) Escalera.  ; 2. (sus.) Escalón.,Kate climbed up the stairs to her apartment.,Kate subió las escaleras hasta su apartamento.
234,knee,,1. (sus.) Rodilla.,Claire could feel her knees shaking.,Claire podía sentir sus rodillas temblando.
235,recover,,"1. (v.) Recuperar, librar.  ; 2. (v.) Recuperarse.",My knee is still recovering after that soccer game.,Mi rodilla todavía se está recuperando después de ese partido de fútbol.
236,listen to,,1. (v.) Escuchar.,What kind of music do you listen to?,¿Qué tipo de música escuchas?
237,laugh,,"1. (v.) Reír, carcajear.  ; 2. (sus.) Risa, carcajada, risotada.",My cats make me laugh all the time.,Mis gatos me hacen reír todo el tiempo.
238,guess,,"1. (v.) Adivinar.  ; 2. (v.) Estimar, conjeturar.",Guess how much bread I ate.,Adivina cuánto pan comí.
239,pick,,"1. (v.) Elegir, seleccionar, escoger.",Which crayon did you pick? The red one or the blue one?,¿Qué crayón elegiste? ¿El rojo o el azul?
240,walk,,"1. (v.) Caminar. ; 2. (sus.) Vuelta, paseo.",Ronald walked to the park.,Ronald caminó hacia el parque.
241,another,,1. (adj.) Otro.,I'm looking for another job at the moment.,Busco otro trabajo en este momento.
242,share,,1. (sus.) Parte.  ; 2. (v.) Compartir.,"I only have one, but we can share!","Solo tengo uno, ¡pero podemos compartir!"
243,deal,,"1. (v.) Hacer un trato.  ; 2. (sus.) Negocio, trato o arreglo o pacto comercial.",I made a deal with my sister to share the TV.,Hice un trato con mi hermana para compartir la televisión.
244,seem,,1. (v.) Parecer.  ; 2. (v.) Aparentar.,You seem like you're always busy!,¡Pareces estar siempre ocupado!
245,nobody,,1. (pron.) Nadie,Brady went into the house and nobody was there.,Brady entró en la casa y nadie estaba allí.
246,side,,"1. (sus.) Lado, costado.",I live on the other side of the street.,Vivo al otro lado de la calle.
247,drink,,"1. (v.) Beber, tomar. ; 2. (sus.) Bebida",It is important to drink enough water everyday.,Es importante beber suficiente agua todos los días.
248,half,,1. (sus.) Mitad.  ; 2. (adv.) Medio.,I'll give you half and keep the other for myself.,Te daré la mitad y guardaré lo otro para mí mismo.
249,shut,,1. (v.) Cerrar.,Sam suddenly shut his laptop.,Sam de repente cerró su computadora portátil.
250,hope,,1. (sus.) Esperanza. ; 2. (v.) Esperar.,Oliver hopes to visit Britain one day.,Oliver espera visitar Gran Bretaña algún día.
251,worry,worried,1. (v.) Preocupar  ; 2. (sus.) Preocupación,I worry about you because you're my friend.,Me preocupo por ti porque eres mi amigo.
252,tail,,1. (sus.) Cola.,Angela grabbed the kittens by the tail.,Ángela agarró a los gatitos por la cola.
253,pull,,"1. (v.) Tirar, jalar.",You should never pull a dog's tail.,Nunca debes tirar de la cola de un perro.
254,plane,,1. (sus.) Avión.,"I'll call you later, I have to get on the plane now.","Te llamo más tarde, tengo que subirme al avión ahora."
255,tired,,1. (adj.) Cansado.,They said that they didn't feel tired.,Dijeron que no se sentían cansados.
256,almost,,1. (adv.) Casi.,I was so tired that I almost fell asleep at work.,Estaba tan cansado que casi me quedo dormido en el trabajo.
257,raise,,"1. (v.) Levantar, alzar.",He slowly raised his hand.,Lentamente levantó la mano.
258,uncle,,1. (sus.) Tío.,Jordyn was raised by her uncle.,Jordyn fue criada por su tío.
259,ride,rode,"1. (sus.) Aventón. ; 2. (v.) Ir en, montar.",Can you give me a ride to the party?,¿Puedes darme un aventón a la fiesta?
260,fight,fought,"1. (v.) Pelear, luchar, combatir.  ; 2. (sus.) Discusión, riña.",Why do you fight so much?,¿Por qué ustedes pelean tanto?
261,least,,1. (adj.) Mínimo.  ; 2. (adv.) Menos.,At least we learned something interesting!,¡Al menos aprendimos algo interesante!
262,shower,,1. (sus.) Ducha. ; 2. (v.) Ducharse.,I always shower in the morning.,Siempre me ducho por la mañana.
263,wish,,"1. (v.) Desear, desear que  ; 2. (sus.) Deseo.",I wish I could travel more.,Desearía poder viajar más.
264,gift,,"1. (sus.) Regalo, detalle.",Clayton gave me a gift for my birthday.,Clayton me dio un regalo por mi cumpleaños.
265,town,,"1. (sus.) Pueblo, ciudad, zona urbana.",I live in a small town outside the big city.,Vivo en un pequeño pueblo fuera de la gran ciudad.
266,soon,,"1. (adv.) Pronto, en breve.",Zoe will be home from work soon.,Zoe llegará pronto del trabajo.
267,fix,,1. (v.) Reparar.  ; 2. (sus.) Reparación.,"We can fix it, but it'll be expensive.","Podemos arreglarlo, pero será caro."
268,coat,,"1. (sus.) Abrigo, chaqueta.",She finally took off her coat.,Finalmente se quitó el abrigo.
269,rest,,"1. (v.) Descansar, reposar. ; 2. (sus.) Resto.",I usually rest after work.,Suelo descansar después del trabajo.
270,alone,,1. (adj.) Solo. ; 2. (adj.) Único.,She really likes to be alone.,A ella realmente le gusta estar sola.
271,toilet,,1. (sus.) Inodoro.,How many times do I have to tell you to put the toilet seat up when you pee?,¿Cuántas veces tengo que decirte que levantes la tapa del inodoro cuando orines?
272,realize,,1. (v.) Comprender.  ; 2. (v.) Darse cuenta.,Do you realize what you just said?,¿Te das cuenta de lo que acabas de decir?
273,mistake,,1. (sus.) Error. ; 2. (v.) Malinterpretar.,There's obviously been a mistake.,Obviamente ha habido un error.
274,fast,,"1. (adj.) Rápido, veloz. ; 2. (adv.) Rapidamente.",Leopards are very fast animals.,Los leopardos son animales muy rápidos.
275,rock,,"1. (sus.) Piedras, rocas.","You should put some shoes on, the rocks are really sharp.","Deberías ponerte unos zapatos, las rocas son muy afiladas."
276,answer,,"1. (v.) Responder, contestar. ; 2. (sus.) Solución, respuesta.",The teacher answered Everett's question.,El profesor respondió a la pregunta de Everett.
277,tough,,"1. (adv.) Difícil, duro. ; 2. (adj.) Fuerte.",He said that his job was tough.,Dijo que su trabajo era difícil.
278,country,,1. (sus.) País. ; 2. (sus.) Campo.,The US is the biggest English speaking country in the world.,Estados Unidos es el país de habla inglesa más grande del mundo.
279,grow,,1. (v.) Cultivar.; 2. (v.) Crecer.,I grow apples in my backyard.,Yo cultivo manzanas en mi patio trasero.
280,wonderful,,"1. (adj.) Maravilloso, excelente, prodigioso.",Janet looks wonderful in that dress.,Janet se ve maravillosa con ese vestido.
281,dance,,1. (sus.) Baile. ; 2. (v.) Bailar.,Simon said he's going to ask Michelle to the dance.,Simon dijo que va a invitar a Michelle al baile.
282,glad,,"1. (adj.) Contento, feliz, encantado.  ; 2. (adj.) Satisfecho, estar alegre.",I'm glad that I got a chance to see you again.,Me alegro de haber tenido la oportunidad de verte de nuevo.
283,tooth,,1. (sus.) Diente.,Diana sometimes opens bottles with her teeth.,Diana a veces abre botellas con los dientes.
284,weird,,"1. (adj.) Sobrenatural, extraño, extraordinario, raro.","Joyce is a little weird, isn't she?","Joyce es un poco rara, ¿no?"
285,follow,,"1. (v.) Seguir. ; 2. (v.) Entender, seguir.",This cat won't stop following me.,Este gato no deja de seguirme.
286,lock,,"1. (v.) Cerrar con llave, candar.  ; 2. (sus.) Cerradura.",We forgot to lock one of our windows.,Olvidamos cerrar una de nuestras ventanas.
287,record,,"1. (v.) Grabar. ; 2. (sus.) Registro, documento.",Recording these sentences is tough!,¡Grabar estas oraciones es difícil!
288,somewhere,,"1. (adv.) En algún lugar, punto, parte o momento.  ; 2. (adv.) A alguna parte, a algún lado.",Can we go somewhere and talk?,¿Podemos ir a alguna parte y hablar?
289,apologize,,"1. (v.) Pedir perdón, disculparse.  ; 2. (v.) Apologizar, hacer apología.",Did you get a chance to apologize to Tom?,¿Tuviste la oportunidad de disculparte con Tom?
290,single,,"1. (adj.) Único, uno solo.; 2. (adj.) Soltero.",There wasn't a single person at the meeting.,No había una sola persona en la reunión.
291,neck,,"1. (sus.) Cuello, cogote, pescuezo.",Bryson and Brooklyn could feel the sun on their necks.,Bryson y Brooklyn podían sentir el sol en sus cuellos.
292,heart,,1. (sus.) Corazón.,The heart is a very important body part.,El corazón es una parte del cuerpo muy importante.
293,farm,,1. (sus.) Granja.  ; 2. (v.) Cultivar.,My aunt and uncle live on a farm in California.,Mi tía y mi tío viven en una granja en California.
294,land,,1. (sus.) Tierra. ; 2. (sus.) Suelo.,The farmers grow food on their land.,Los agricultores cultivan alimentos en sus tierras.
295,join,,"1. (v.) Unir, juntar, reunir. ; 2. (v.) Adherirse, unirse, enlistarse.",Would you like to join our hockey team?,¿Te gustaría unirte a nuestro equipo de hockey?
296,luck,,1. (sus.) Suerte,"Good luck with that, Emily.","Buena suerte con eso, Emily."
297,pool,,"1. (sus.) Charca, charco, estanque.  ; 2. (sus.) Piscina.",Julia has a house with a pool.,Julia tiene una casa con piscina.
298,hurry,,1. (sus.) Prisa. ; 2. (sus.) Urgencia.,Why are you in such a hurry today?,¿Por qué tienes tanta prisa hoy?
299,speed,,1. (sus.) Rapidez.   ; 2. (sus.) Velocidad.,The speed of your speech is less important than the fluidity.,La velocidad de tu discurso es menos importante que la fluidez.
300,mirror,,"1. (sus.) Espejo.  ; 2. (v.) Reflejar, imitar.",Hailey doesn't like looking in the mirror.,A Hailey no le gusta mirarse en el espejo.
301,toast,,"1. (sus.) Tostada, pan tostado",He put a lot of honey on his toast.,Puso mucha miel en su pan tostado.
302,excited,,"1. (adj.) Emocionado, entusiasmado. ; 2. (adj.) Agitado, nervioso.",William and Judy are pretty excited about it.,William y Judy están muy entusiasmados con eso.
303,worth,,"1. (sus.) Valía.  ; 2. (adj.) Valioso, valer la pena",It's really worth learning to speak English.,Realmente vale la pena aprender a hablar inglés.
304,heavy,,1. (adj.) Pesado.,"Careful with that box, it's really heavy.","Cuidado con esa caja, es muy pesada."
305,wash,,"1. (v.) Lavar, lavarse.",Gabriel hasn't washed his hair in six weeks.,Gabriel no se ha lavado el pelo en seis semanas.
306,fan,,"1. (sus.) Abanico, ventilador. ; 2. (sus.) Aficionado, fan","During the summer, I have to sleep with a fan on.","Durante el verano, tengo que dormir con un ventilador encendido."
307,switch,,"1. (v.) Cambiar. ; 2. (sus.) Interruptor, conmutador.",Debra switched to French.,Debra cambió a francés.
308,age,,"1. (sus.) Edad, era. ; 2. (v.) Envejecer",You must be 21 years of age to enter the building.,Debe tener 21 años de edad para ingresar al edificio.
309,hole,,"1. (sus.) Agujero, hoyo.  ; 2. (sus.) Hueco.",Alice went down the rabbit hole,Alicia se fue por la madriguera del conejo.
310,fair,,1. (adj.) Justo.,Life isn't fair sometimes.,La vida no es justa a veces.
311,angry,,"1. (adj.) Enojado, enfadado.  ; 2. (adj.) Furioso.",She got angry when I told her that the show was cancelled.,Se enojó cuando le dije que el programa fue cancelado.
312,shout,,1. (v.) Gritar. ; 2. (sus.) Grito.,He always shouts when he's angry.,Siempre grita cuando está enojado.
313,sock,,1. (sus.) Calcetín.,I stepped in some water and now my sock is wet.,Entré en un poco de agua y ahora mi calcetín está mojado.
314,deep,,1. (adj.) Profundo.  ; 2. (sus.) Vastedad.,The ocean is incredibly deep.,El océano es increíblemente profundo.
315,whenever,,"1. (adv.) Cuando quiera que, cada vez que. ; 2. (conj.) Cuando.",I exercise whenever I get a chance to.,Hago ejercicio cada vez que tengo la oportunidad de hacerlo.
316,dark,,1. (adj.) Oscuro.  ; 2. (adj.) Moreno.,Why are you sitting alone in a dark room?,¿Por qué estás sentado solo en una habitación oscura?
317,shame,,"1. (sus.) Vergüenza, pena.",It's a shame you can't go to New York with us.,Es una pena que no puedas ir a Nueva York con nosotros.
318,wave,,1. (v.) Saludar con la mano.  ; 2. (sus.) Onda.,She drove by his house and waved at him.,Pasó por su casa y lo saludó con la mano.
319,resource,,1. (sus.) Recurso.,This is a wonderful resource.,Este es un recurso maravilloso.
320,oil,,1. (sus.) Petróleo.  ; 2. (sus.) Aceite.,Oil is one of the most valuable natural resources.,El petróleo es uno de los recursos naturales más valiosos.
321,thin,,"1. (adj.) Delgado, flaco","He was a tall, thin man.",Era un hombre alto y delgado.
322,agree,,"1. (v.) Estar de acuerdo, concordar.  ; 2. (v.) Acordar, concordar.","I usually agree with Lisa, but not this time.","Por lo general estoy de acuerdo con Lisa, pero no esta vez."
323,tub,,"1. (sus.) Tina, bañera.  ; 2. (sus.) Cubo, balde.",Erin filled the tub with water.,Erin llenó la tina con agua.
324,strike,struck,"1. (v.) Golpear.  ; 2. (sus.) Huelga, paro.",The ball struck him right between the eyes,La pelota lo golpeó justo entre los ojos.
325,silly,,1. (adj.) Ridículo.  ; 2. (adj.) Tonto.,"It's a really silly word, but I like it.","Es una palabra muy tonta, pero me gusta."
326,bean,,"1. (sus.) Alubia, frijol, haba, judía, habichuela.",Would you like beans with your order?,¿Quieres frijoles con tu pedido?
327,bunch,,"1. (sus.) Manojo, puñado, montón. ; 2. (sus.) Ramo.",A bunch of people told me not to do it.,Un montón de gente me dijo que no lo hiciera.
328,cheat,,1. (v.) Engañar ; 2. (v.) Hacer trampa,I think Everett cheated on his exam.,Creo que Everett hizo trampa en su examen.
329,freeze,,1. (v.) Helar ; 2. (v.) Congelar,The ponds never freeze here. It's not cold enough.,Los estanques nunca se congelan aquí. No es lo suficientemente frío.
330,above,,1. (adv.) Arriba.  ; 2. (prep.) Sobre.,See that door? Look right above it.,¿Ves esa puerta? Mira justo arriba de ella.
331,warm,,"1. (adj.) Cálido, calientito.",It was a warm summer evening.,Era una cálida tarde de verano.
332,purse,,1. (sus.) Monedero.  ; 2. (sus.) Bolso.,Katie looked in her purse for a tissue.,Katie buscó en su bolso un pañuelo.
333,breath,,"1. (sus.) Respiración, aliento.",Parker took a big deep breath and closed his eyes.,Parker respiró hondo y cerró los ojos.
334,settle down,,"1. (v.) Calmar, disipar.  ; 2. (v.) Colonizar.",Settle down and remember to breath.,Cálmate y recuerda respirar.
335,glove,,1. (sus.) Guante.,Skyler put her gloves back on.,Skyler volvió a ponerse los guantes.
336,shoulder,,1. (sus.) Hombro.,I felt somebody tap me on the shoulder.,Sentí que alguien me tocaba el hombro.
337,wide,,1. (adj.) Ancho.,I think my car is too wide to fit here.,Creo que mi coche es demasiado ancho para caber aquí.
338,receipt,,1. (sus.) Recibo.,"Could I get a receipt for that, please?","¿Podría obtener un recibo por eso, por favor?"
339,cheap,,1. (adj.) Barato.,Living here is not cheap.,Vivir aquí no es barato
340,chase,,"1. (sus.) Persecución, caza.  ; 2. (v.) Perseguir, cazar.",I threw the ball for my dog to chase.,Lancé la pelota para que mi perro la persiguiera.
341,customer,,1. (sus.) Cliente,We have about 200 customers per day.,Tenemos alrededor de 200 clientes por día.
342,envelope,,1. (sus.) Sobre.,Carter pulled an envelope from his jacket pocket.,Carter sacó un sobre del bolsillo de su chaqueta.
343,wipe,,"1. (v.) Limpiar, pasar un trapo a.",I saw Bryan wiping his nose.,Vi a Bryan limpiándose la nariz.
344,sink,,"1. (sus.) Lavabo, fregadero.  ; 2. (sus.) Lavamanos, lavatorio.",The breakfast dishes were still in the sink.,Los platos del desayuno todavía estaban en el fregadero.
345,sweep,swept,"1. (v.) Barrer, limpiar, sacudir.  ; 2. (v.) Recoger, arrastrar, llevarse.",Daniela swept the floor of the barn.,Daniela barrió el suelo del granero.
346,introduce,,"1. (v.) Introducir, iniciar.  ; 2. (v.) Presentar.",Can I introduce you to my parents?,¿Puedo presentarte a mis padres?
347,twist,,"1. (v.) Torcer, girar.",You need to twist the handle a bit more.,Necesitas girar el mango un poco más.
348,garden,,1. (sus.) Jardín.,I sometimes help Thea in the garden.,A veces ayudo a Thea en el jardín.
349,successful,,1. (adj.) Exitoso.  ; 2. (adj.) Próspero.,Sam became successful on Youtube,Sam tuvo éxito en Youtube.
350,fork,,1. (sus.) Tenedor.,Do you have any forks we can use?,¿Tienes algún tenedor que podamos usar?
351,earth,,"1. (sus.) Suelo, tierra                                                                    ; 2. (sus.) Planeta Tierra",How big is the Earth?,¿Qué tan grande es la Tierra?
352,scratch,,"1. (sus.) Rasco, araño.  ; 2. (v.) Arañar, rascar.",Cassidy scratched the back of her neck.,Cassidy se rascó la nuca.
353,manage,,"1. (v.) Administrar, dirigir, manejar.",How do you manage to do that?,¿Cómo te administras para hacer esto?
354,bug,,"1. (sus.) Insecto, bicho.  ; 2. (sus.) Defecto o error en una máquina o programa; bug.",Do you have any bug spray?,¿Tiene algún repelente de insectos?
355,beer,,1. (sus.) Cerveza.,Bryan offered Alice his beer.,Bryan le ofreció a Alice su cerveza.
356,slice,,1. (sus.) Porción. ; 2. (sus.) Rebanada.,Can I have a slice of pizza?,¿Puedo tener una porción de pizza?
357,rude,,1. (adj.) Grosero,I don't like rude customers.,No me gustan los clientes groseros.
358,let go,,1. (v.) Soltar.  ; 2. (v.) Librar.,She suddenly let go of his hand.,"De repente, ella soltó su mano."
359,spill,,1. (v.) Derramar.  ; 2. (v.) Verter,She spilled her water on the floor.,Ella derramó su agua en el suelo.
360,wing,,1. (sus.) Ala,All birds have two wings.,Todas las aves tienen dos alas.
361,storm,,1. (sus.) Tormenta.  ; 2. (sus.) Vendaval.,There's going to be a storm.,Va a haber una tormenta.
362,roof,,1. (sus.) Techo.,I need to get my roof repaired after that big storm.,Necesito reparar mi techo después de esa gran tormenta.
363,punch,,"1. (sus.) Puñetazo.   ; 2. (v.) Dar un puñetazo, golpear.",Why did you punch Gavin?,¿Por qué golpeaste a Gavin?
364,threaten,,1. (v.) Amenazar.,Al threatened to punch me.,Al amenazó con golpearme.
365,snow,,1. (sus.) Nieve.  ; 2. (v.) Nevar.,We haven't had much snow this winter.,No hemos tenido mucha nieve este invierno.
366,yard,,1. (sus.) Patio.  ; 2. (sus.) Jardín.,"Patrick is in the backyard, isn't he?","Patrick está en el patio trasero, ¿no?"
367,bright,,"1. (adj.) Brillante.  ; 2. (adj.) Iluminado, con luz.",Can you turn down the light? It's super bright.,¿Puedes apagar la luz? Es muy  brillante.
368,accomplish,,1. (v.) Lograr,"Well, we didn't accomplish very much, did we?","Bueno, no logramos mucho, ¿verdad?"
369,bend,,"1. (v.) Inclinarse.  ; 2. (v.) Doblar, curvar.",Don't bend your back when you pick up heavy things.,No doble la espalda cuando levante cosas pesadas.
370,fog,,1. (sus.) Niebla,I don't like to drive when it's foggy.,No me gusta conducir cuando hay niebla.
371,pan,,1. (sus.) Sartén,Justin was looking for the frying pan.,Justin estaba buscando la sartén.
372,gain,,"1. (v.) Conseguir, obtener, ganar.  ; 2. (v.) Adquirir.",Did you gain weight since I last saw you?,¿Ganaste peso desde la última vez que te vi?
373,seek,,"1. (v.) Buscar, perseguir.",You should probably seek help.,Probablemente debas buscar ayuda.
374,jar,,1. (sus.) Frasco. ; 2. (sus.) Tarro.,"Open this jar for me, please.","Abre este frasco para mí, por favor."
375,advise,,"1. (v.) Aconsejar.  ; 2. (v.) Considerar, deliberar.",She advised him to take the money.,Ella le aconsejó que tomara el dinero.
376,plug in,,"1. (v.) Enchufar, enchufarse.",Can I plug my laptop in?,¿Puedo enchufar mi laptop?
377,mouse,,"1. (sus.) Ratón, laucha.","No, Tom is the cat and Jerry is the mouse!","¡No, Tom es el gato y Jerry es el ratón!"
378,edge,,"1. (sus.) Orilla, lado, borde.",Maria looked over the edge of the balcony.,María miró por encima del borde del balcón.
379,cheek,,1. (sus.) Mejilla.,He kissed her on the cheek.,Él la besó en la mejilla.
380,spoon,,1. (sus.) Cuchara.,Sylvia stirred her coffee with a spoon.,Sylvia revolvió su café con una cuchara.
381,stir,,1. (v.) Revolver.,He stirred his coffee with a small spoon.,Revolvió su café con una cuchara pequeña.
382,faint,,1. (v.) Desmayarse,I need to eat soon or else I'm going to faint.,Necesito comer pronto o me voy a desmayar.
383,overnight,,"1. (adv.) Para la noche, durante la noche, de la noche a la mañana.",Things can't be accomplished overnight.,Las cosas no se pueden lograr de la noche a la mañana.
384,rocket,,1. (sus.) Cohete.,Look mom! I made a bottle rocket at school today!,¡Mira mamá! ¡Hice un cohete de botella en la escuela hoy!
385,highway,,1. (sus.) Carretera.  ; 2. (sus.) Autopista.,Carter drives too fast on the highway.,Carter conduce demasiado rápido en la carretera.
386,dust,,1. (sus.) Polvo  ; 2. (v.) Desempolvar,Wipe the dust off the table.,Limpia el polvo de la mesa.
387,wound,,1. (sus.) Herida,It will take time for him to recover from his wounds.,Le tomará tiempo recuperarse de sus heridas.
388,print,,"1. (v.) Imprimir, escribir.  ; 2. (sus.) Huella, estampado.",I need to print my essay for our class tomorrow!,¡Necesito imprimir mi ensayo para nuestra clase mañana!
389,bake,,1. (v.) Hornear.  ; 2. (v.) Asar.,I baked three pies this afternoon.,Horneé tres pasteles esta tarde.
390,shelf,,1. (sus.) Estante.,The spices are on the top shelf.,Las especias están en el estante superior.
391,hill,,"1. (sus.) Cerro, loma, colina.","Ryan and Laura rolled down the hill, laughing.","Ryan y Laura rodaron colina abajo, riéndose."
392,teenager,,1. (sus.) Adolescente.,"Sydney looks like a teenager, but she's actually over thirty years old.","Sydney parece una adolescente, pero en realidad tiene más de treinta años."
393,plain,,1. (adj.) Sencillo.,Say it in plain terms.,Dilo en términos sencillos.
394,topic,,1. (sus.) Tema.,How does that relate to this topic?,¿Cómo se relaciona eso con este tema?
395,flood,,1. (sus.) Inundación.  ; 2. (v.) Inundar.,The city is still recovering from the flood.,La ciudad aún se está recuperando de la inundación.
396,break,broke,"1. (v.) Romper, quebrar. ; 2. (sus.) Descanso.",Stephen accidently broke the chair.,Stephen accidentalmente rompió la silla.
397,same,,"1. (adj.) Mismo. ; 2. (adj.) Igual, idéntico.",I'm the same age as my wife.,Tengo la misma edad que mi esposa.
398,stuff,,"1. (sus.) Cosa, cosas. ; 2. (sus.) Material.",Mary Anne has all of her stuff in her purse.,Mary Anne tiene todas sus cosas en su bolso.
399,knock,,"1. (sus.) Golpe, sonido de un golpe.  ; 2. (v.) Tocar la puerta.",There was a knock at the door.,Tocaron la puerta.
400,happy,,1. (adj.) Feliz.,My dog is always happy to see me.,Mi perro siempre está feliz de verme.
401,ready,,"1. (adj.) Listo, preparado.  ; 2. (adj.) Dispuesto",Are you ready to leave yet?,¿Ya estás listo para irte?
402,end,,1. (sus.) Final.  ; 2. (v.) Finalizar.,Did you like the end of the movie?,¿Te gustó el final de la película?
403,couple,,1. (sus.) Par.  ; 2. (sus.) Pareja.,I have a couple of friends in Boston.,Tengo un par de amigos en Boston.
404,buddy,,"1. (sus.) Camarada, amigo, compañero.",I want to introduce you to my old college buddies.,Quiero presentarles a mis antiguos compañeros de la universidad.
405,smell,,1. (v.) Oler,Does this milk smell OK to you?,¿Te huele bien esta leche?
406,whatever,,"1. (pron.) Cualquiera, cualquier cosa, lo que sea",He does whatever we tell him to do.,Él hace cualquier cosa que le digamos que haga.
407,send,,"1. (v.) Mandar, enviar.",He sent his boss an email.,Le envió un correo electrónico a su jefe.
408,mine,,1 (pron.) Mío.,Leo has been a close friend of mine for years.,Leo ha sido un amigo cercano mío durante años.
409,catch,,"1. (v.) Coger, atrapar. ; 2. (v.) Pillar, sorprender.",The player tried to catch the ball.,El jugador intentó atrapar la pelota.
410,card,,1. (sus.) Tarjeta.,This deck only has 51 cards.,Este mazo solo tiene 51 tarjetas.
411,drop,,"1. (v.) Soltar, dejar caer.",Jacqueline dropped her phone on the ground.,Jacqueline dejó caer su teléfono al suelo.
412,fact,,1. (sus.) Hecho.,"Oh, that's a fact now, is it?","Oh, eso es un hecho ahora, ¿verdad?"
413,relationship,,1. (sus.) Relación.  ; 2. (sus.) Conexión emocional entre personas.,Bruno and Andy have been in a relationship for three years.,Bruno y Andy han estado en una relación durante tres años.
414,quite,,1. (adv.) Totalmente.  ; 2. (adv.) Bastante.,That restaurant is actually quite good.,Ese restaurante es bastante bueno.
415,lady,,"1. (sus.) Dama.  ; 2. (sus.) Señora, señorita",Could you ladies please help me?,"¿Señoras, podrían ayudarme, por favor?"
416,sign,,1. (sus.) Señal. ; 2. (v.) Firmar.,The car stopped at the stop sign.,El coche se detuvo en la señal de detenerse.
417,wonder,,"1. (v.) Preguntarse, cuestionarse. ; 2. (v.) Maravillarse, sorprenderse, extrañarse.",I wonder if aliens exist.,Me pregunto si existen los extraterrestres.
418,buck,,1. (sus.) Dólar.,Linda has five bucks in her wallet.,Linda tiene cinco dólares en su billetera.
419,tape,,1. (sus.) Cinta adhesiva ; 2. (v.) Pegar,You can just tape them back together!,¡Puedes volver a unirlos con cinta adhesiva!
420,naked,,"1. (adj.) Desnudo, en cueros.  ; 2. (adj.) Desprotegido.",He had a dream where he went to school naked.,Soñó que iba desnudo a la escuela.
421,bet,,1. (v.) Apostar.,Which horse did you bet on?,¿Por qué caballo apostaste?
422,blow,,1. (v.) Soplar.  ; 2. (sus.) Golpe.,Bart blew the dust off his desk.,Bart sopló el polvo de su escritorio.
423,buzz,,1. (sus.) Zumbido  ; 2. (sus.) Un sentimiento de entusiasmo o exitación.,Do you hear a buzz?,¿Escuchas un zumbido?
424,hat,,"1. (sus.) Sombrero, gorra.",Elijah and Alexis didn't take their hats off.,Elijah y Alexis no se quitaron el sombrero.
425,either,,1. (adj.) Cualquiera. ; 2. (adj.) Ambos.,"Either team could win, they're both really good.","Cualquiera de los dos equipos podría ganar, los dos son realmente buenos."
426,enjoy,,1. (v.) Disfrutar. ; 2. (v.) Apreciar.,Peter enjoys being outside.,Peter disfruta estar afuera.
427,suit,,"1. (sus.) Traje.   ; 2. (v.) Adecuar, nivelar, adaptar.",Where did you get that suit? It looks great on you.,¿Dónde conseguiste ese traje? Se ve bien en ti.
428,bald,,1. (adj.) Calvo,Gregory is going bald at 25.,Gregory se está quedando calvo a los 25.
429,wedding,,1. (sus.) Boda,We are planning our wedding for next summer.,Estamos planeando nuestra boda para el próximo verano.
430,cool,,"1. (adj.) Fresco, frío.   ; 2. Adjevtivo: Genial.",It was a cool summer evening.,Fue una fría noche de verano.
431,scream,,"1. (sus.) Chillido, alarido.  ; 2. (v.) Gritar, llorar a gritos.",Carson turned around and started screaming.,Carson se dio la vuelta y comenzó a gritar.
432,dad,,"1. (sus.) Papi, papá.",Why is dad in the kitchen?,¿Por qué está papá en la cocina?
